2,2017-02-05.21-53-40,14:23,S3DA:H4HADQD8,S,PLAYER_WIN,1523794,5000,10000,{'step': 'Stop', 'state': 'true', 'bust': 'dealer', 'dealerPoints': 23, 'splited': 'false', 'totalCoins': 1543794, 'playerPoints': 14, 'win': 'W', 'player': [{'id': 15, 'value': 3}, {'id': 39, 'value': 1}], 'dealer': [{'id': 29, 'value': 4}, {'id': 26, 'value': 1}, {'id': 50, 'value': 12}, {'id': 46, 'value': 8}]}

316,2017-02-05.21-55-01,21:17,HJDA:C7HQ,,PLAYER_BLACKJACK,1516294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1513794, 'cansplit': 'false', 'player': [{'id': 36, 'value': 11}, {'id': 39, 'value': 1}], 'dealer': [{'id': 6, 'value': 7}, {'id': 37, 'value': 12}]}

350,2017-02-05.21-55-10,21:20,SKSA:DAD9,,PLAYER_BLACKJACK,1471294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1468794, 'cansplit': 'false', 'player': [{'id': 25, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 39, 'value': 1}, {'id': 47, 'value': 9}]}

356,2017-02-05.21-55-11,21:18,CACT:CKC8,,PLAYER_BLACKJACK,1451294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1448794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 9, 'value': 10}], 'dealer': [{'id': 12, 'value': 13}, {'id': 7, 'value': 8}]}

357,2017-02-05.21-55-12,21:15,SADT:S6S9,,PLAYER_BLACKJACK,1456294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1453794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 48, 'value': 10}], 'dealer': [{'id': 18, 'value': 6}, {'id': 21, 'value': 9}]}

365,2017-02-05.21-55-14,21:11,DQDA:S9D2,,PLAYER_BLACKJACK,1461294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1458794, 'cansplit': 'false', 'player': [{'id': 50, 'value': 12}, {'id': 39, 'value': 1}], 'dealer': [{'id': 21, 'value': 9}, {'id': 40, 'value': 2}]}

369,2017-02-05.21-55-15,21:20,SKHA:SQCT,,PLAYER_BLACKJACK,1486294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1483794, 'cansplit': 'false', 'player': [{'id': 25, 'value': 13}, {'id': 26, 'value': 1}], 'dealer': [{'id': 24, 'value': 12}, {'id': 9, 'value': 10}]}

416,2017-02-05.21-55-27,21:18,STHA:D8DT,,PLAYER_BLACKJACK,1426294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1423794, 'cansplit': 'false', 'player': [{'id': 22, 'value': 10}, {'id': 26, 'value': 1}], 'dealer': [{'id': 46, 'value': 8}, {'id': 48, 'value': 10}]}

427,2017-02-05.21-55-29,21:11,CKSA:C5S6,,PLAYER_BLACKJACK,1421294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1418794, 'cansplit': 'false', 'player': [{'id': 12, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 4, 'value': 5}, {'id': 18, 'value': 6}]}

464,2017-02-05.21-55-39,21:17,HADJ:S7DQ,,PLAYER_BLACKJACK,1411294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1408794, 'cansplit': 'false', 'player': [{'id': 26, 'value': 1}, {'id': 49, 'value': 11}], 'dealer': [{'id': 19, 'value': 7}, {'id': 50, 'value': 12}]}

478,2017-02-05.21-55-42,21:6,DADJ:H4H2,,PLAYER_BLACKJACK,1401294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1398794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 49, 'value': 11}], 'dealer': [{'id': 29, 'value': 4}, {'id': 27, 'value': 2}]}

483,2017-02-05.21-55-44,21:12,HQHA:H2CK,,PLAYER_BLACKJACK,1411294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1408794, 'cansplit': 'false', 'player': [{'id': 37, 'value': 12}, {'id': 26, 'value': 1}], 'dealer': [{'id': 27, 'value': 2}, {'id': 12, 'value': 13}]}

555,2017-02-05.21-56-03,21:12,HKDA:H9S3,,PLAYER_BLACKJACK,1406294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1403794, 'cansplit': 'false', 'player': [{'id': 38, 'value': 13}, {'id': 39, 'value': 1}], 'dealer': [{'id': 34, 'value': 9}, {'id': 15, 'value': 3}]}

577,2017-02-05.21-56-09,21:19,CKHA:DQD9,,PLAYER_BLACKJACK,1431294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1428794, 'cansplit': 'false', 'player': [{'id': 12, 'value': 13}, {'id': 26, 'value': 1}], 'dealer': [{'id': 50, 'value': 12}, {'id': 47, 'value': 9}]}

581,2017-02-05.21-56-09,21:16,SAHT:DJS6,,PLAYER_BLACKJACK,1436294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1433794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 35, 'value': 10}], 'dealer': [{'id': 49, 'value': 11}, {'id': 18, 'value': 6}]}

596,2017-02-05.21-56-13,21:11,CQDA:D6D5,,PLAYER_BLACKJACK,1431294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1428794, 'cansplit': 'false', 'player': [{'id': 11, 'value': 12}, {'id': 39, 'value': 1}], 'dealer': [{'id': 44, 'value': 6}, {'id': 43, 'value': 5}]}

598,2017-02-05.21-56-13,21:13,DAHT:CKH3,,PLAYER_BLACKJACK,1431294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1428794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 35, 'value': 10}], 'dealer': [{'id': 12, 'value': 13}, {'id': 28, 'value': 3}]}

612,2017-02-05.21-56-17,21:16,DADT:C6CK,,PLAYER_BLACKJACK,1421294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1418794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 48, 'value': 10}], 'dealer': [{'id': 5, 'value': 6}, {'id': 12, 'value': 13}]}

613,2017-02-05.21-56-17,21:19,DQSA:CTH9,,PLAYER_BLACKJACK,1426294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1423794, 'cansplit': 'false', 'player': [{'id': 50, 'value': 12}, {'id': 13, 'value': 1}], 'dealer': [{'id': 9, 'value': 10}, {'id': 34, 'value': 9}]}

665,2017-02-05.21-56-31,21:15,HAHT:H9C6,,PLAYER_BLACKJACK,1401294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1398794, 'cansplit': 'false', 'player': [{'id': 26, 'value': 1}, {'id': 35, 'value': 10}], 'dealer': [{'id': 34, 'value': 9}, {'id': 5, 'value': 6}]}

704,2017-02-05.21-56-41,21:19,CACQ:DKC9,,PLAYER_BLACKJACK,1371294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1368794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 11, 'value': 12}], 'dealer': [{'id': 51, 'value': 13}, {'id': 8, 'value': 9}]}

732,2017-02-05.21-56-48,21:7,DACK:S4S3,,PLAYER_BLACKJACK,1376294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1373794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 12, 'value': 13}], 'dealer': [{'id': 16, 'value': 4}, {'id': 15, 'value': 3}]}

738,2017-02-05.21-56-50,21:14,HAHK:S5D9,,PLAYER_BLACKJACK,1386294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1383794, 'cansplit': 'false', 'player': [{'id': 26, 'value': 1}, {'id': 38, 'value': 13}], 'dealer': [{'id': 17, 'value': 5}, {'id': 47, 'value': 9}]}

741,2017-02-05.21-56-50,21:19,SASJ:H9SK,,PLAYER_BLACKJACK,1386294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1383794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 23, 'value': 11}], 'dealer': [{'id': 34, 'value': 9}, {'id': 25, 'value': 13}]}

747,2017-02-05.21-56-52,21:9,SAHT:D5D4,,PLAYER_BLACKJACK,1391294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1388794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 35, 'value': 10}], 'dealer': [{'id': 43, 'value': 5}, {'id': 42, 'value': 4}]}

861,2017-02-05.21-57-22,21:13,CTSA:C9H4,,PLAYER_BLACKJACK,1441294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1438794, 'cansplit': 'false', 'player': [{'id': 9, 'value': 10}, {'id': 13, 'value': 1}], 'dealer': [{'id': 8, 'value': 9}, {'id': 29, 'value': 4}]}

866,2017-02-05.21-57-23,21:21,CTHA:HKSA,,PLAYER_BLACKJACK,1431294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'P', 'totalCoins': 1423794, 'cansplit': 'false', 'player': [{'id': 9, 'value': 10}, {'id': 26, 'value': 1}], 'dealer': [{'id': 38, 'value': 13}, {'id': 13, 'value': 1}]}

899,2017-02-05.21-57-31,21:10,SQCA:S2H8,,PLAYER_BLACKJACK,1421294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1418794, 'cansplit': 'false', 'player': [{'id': 24, 'value': 12}, {'id': 0, 'value': 1}], 'dealer': [{'id': 14, 'value': 2}, {'id': 33, 'value': 8}]}

923,2017-02-05.21-57-37,21:14,HKCA:S4DJ,,PLAYER_BLACKJACK,1456294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1453794, 'cansplit': 'false', 'player': [{'id': 38, 'value': 13}, {'id': 0, 'value': 1}], 'dealer': [{'id': 16, 'value': 4}, {'id': 49, 'value': 11}]}

936,2017-02-05.21-57-40,21:6,CADJ:D2S4,,PLAYER_BLACKJACK,1456294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1453794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 49, 'value': 11}], 'dealer': [{'id': 40, 'value': 2}, {'id': 16, 'value': 4}]}

968,2017-02-05.21-57-48,21:19,CKCA:S9CJ,,PLAYER_BLACKJACK,1456294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1453794, 'cansplit': 'false', 'player': [{'id': 12, 'value': 13}, {'id': 0, 'value': 1}], 'dealer': [{'id': 21, 'value': 9}, {'id': 10, 'value': 11}]}

1005,2017-02-05.21-57-58,21:20,HQSA:SKDT,,PLAYER_BLACKJACK,1461294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1458794, 'cansplit': 'false', 'player': [{'id': 37, 'value': 12}, {'id': 13, 'value': 1}], 'dealer': [{'id': 25, 'value': 13}, {'id': 48, 'value': 10}]}

1033,2017-02-05.21-58-05,21:10,DACK:H2S8,,PLAYER_BLACKJACK,1476294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1473794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 12, 'value': 13}], 'dealer': [{'id': 27, 'value': 2}, {'id': 20, 'value': 8}]}

1060,2017-02-05.21-58-11,21:21,SASJ:DAHK,,PLAYER_BLACKJACK,1481294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'P', 'totalCoins': 1473794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 23, 'value': 11}], 'dealer': [{'id': 39, 'value': 1}, {'id': 38, 'value': 13}]}

1080,2017-02-05.21-58-16,21:9,HQDA:D6S3,,PLAYER_BLACKJACK,1511294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1508794, 'cansplit': 'false', 'player': [{'id': 37, 'value': 12}, {'id': 39, 'value': 1}], 'dealer': [{'id': 44, 'value': 6}, {'id': 15, 'value': 3}]}

1086,2017-02-05.21-58-18,21:11,DAHT:C5D6,,PLAYER_BLACKJACK,1511294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1508794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 35, 'value': 10}], 'dealer': [{'id': 4, 'value': 5}, {'id': 44, 'value': 6}]}

1091,2017-02-05.21-58-19,21:13,CADT:DKC3,,PLAYER_BLACKJACK,1516294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1513794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 48, 'value': 10}], 'dealer': [{'id': 51, 'value': 13}, {'id': 2, 'value': 3}]}

1105,2017-02-05.21-58-23,21:19,HAHT:S9DJ,,PLAYER_BLACKJACK,1506294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1503794, 'cansplit': 'false', 'player': [{'id': 26, 'value': 1}, {'id': 35, 'value': 10}], 'dealer': [{'id': 21, 'value': 9}, {'id': 49, 'value': 11}]}

1135,2017-02-05.21-58-31,21:10,CTCA:D6H4,,PLAYER_BLACKJACK,1431294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1428794, 'cansplit': 'false', 'player': [{'id': 9, 'value': 10}, {'id': 0, 'value': 1}], 'dealer': [{'id': 44, 'value': 6}, {'id': 29, 'value': 4}]}

